nombre;precio;met_pago;link;todo
Nubia Focus Pro 5G 256 GB;$449.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/nubia/nubia-focus-pro-5g-256-gb/f;"Incluye accesorios
Nubia Focus Pro 5G 256 GB
$539.999
16% OFF
$449.999
Conexión Total
$404.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$334.710"
TCL 50 PRO NXTPAPER 5G 512 GB;$499.999;"Hasta 6 cuotas s/int.
con tarjetas de crédito";/celulares/tcl/tcl-50-pro-nxtpaper-5g/f;"Incluye accesorios
TCL 50 PRO NXTPAPER 5G 512 GB
$649.999
23% OFF
$499.999
Conexión Total
$449.999
*
Hasta 6 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$371.900"
Xiaomi Redmi Note 13 256 GB;$528.599;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/xiaomi/xiaomi-redmi-note-13/f;"Incluye accesorios
Xiaomi Redmi Note 13 256 GB

2 colores

$577.999
8% OFF
$528.599
Conexión Total
$475.739
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$393.173"
Samsung Galaxy A36 5G 256 GB;$739.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-a36-5g-256-gb/f;"Samsung Galaxy A36 5G 256 GB

2 colores

$925.999
20% OFF
$739.999
Conexión Total
$665.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$550.413"
Samsung Galaxy S25+ 256 GB;$2.131.999;"Hasta 9 cuotas s/int.
con tarjetas de crédito";/celulares/samsung/samsung-galaxy-s25-plus-256-gb/f;"Samsung Galaxy S25+ 256 GB

2 colores

$2.131.999
Conexión Total
$1.918.800
*
Hasta 9 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$1.585.785"
Nubia Music 128 GB;$199.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/nubia/nubia-music-128-gb/f;"Inlcuye accesorios
Nubia Music 128 GB

2 colores

$264.999
24% OFF
$199.999
Conexión Total
$179.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$148.760"
Motorola Edge 50 Ultra 512 GB;$1.499.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/motorola/motorola-edge-50-ultra/f;"Incluye accesorios
Motorola Edge 50 Ultra 512 GB

2 colores

$1.888.199
20% OFF
$1.499.999
Conexión Total
$1.349.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$1.115.702"
ZTE Blade V60 Design 256 GB;$259.999;"Hasta 9 cuotas s/int.
con tarjetas de crédito";/celulares/zte/zte-blade-v60-design-256-gb/f;"Incluye accesorios
ZTE Blade V60 Design 256 GB
$362.999
28% OFF
$259.999
Conexión Total
$233.999
*
Hasta 9 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$193.388"
TCL 505 S NFC 256 GB;$209.999;"6 cuotas s/int. en tu factura
12 cuotas s/int. con tarjeta";/celulares/tcl/tcl-505-s-nfc-256-gb/f;"Incluye accesorios
TCL 505 S NFC 256 GB
$289.999
27% OFF
$209.999
Conexión Total
$188.999
*
6 cuotas s/int. en tu factura
12 cuotas s/int. con tarjeta
*Precio sin impto.$156.198"
TCL 50 5G 256 GB;$279.999;"Hasta 12 cuotas s/int.
con tarjetas de crédito";/celulares/tcl/tcl-50-5g-256-gb/f;"Incluye accesorios
TCL 50 5G 256 GB
$354.999
21% OFF
$279.999
Conexión Total
$251.999
*
Hasta 12 cuotas s/int.
con tarjetas de crédito
*Precio sin impto.$208.264"
